time,open,high,low,close,volume,spread,day_of_week
2021.09.29 00:00:00,111.526,111.679,111.340,111.420,3921,5,3
2021.09.29 04:00:00,111.421,111.560,111.275,111.296,6772,5,3
2021.09.29 08:00:00,111.296,111.451,111.202,111.398,4133,5,3
2021.09.29 12:00:00,111.400,111.923,111.389,111.825,6903,5,3
2021.09.29 16:00:00,111.827,112.046,111.818,111.931,2079,5,3
2021.09.29 20:00:00,111.943,111.994,111.916,111.935,713,6,3
2021.09.30 00:00:00,111.934,111.941,111.795,111.908,3156,5,4
2021.09.30 04:00:00,111.910,112.059,111.833,111.872,4029,5,4
2021.09.30 08:00:00,111.869,112.075,111.812,111.987,3492,5,4
2021.09.30 12:00:00,111.985,112.008,111.409,111.506,11452,5,4
2021.09.30 16:00:00,111.505,111.521,111.259,111.259,3308,5,4
2021.09.30 20:00:00,111.261,111.468,111.220,111.460,1306,6,4
2021.10.01 00:00:00,111.461,111.485,111.142,111.153,4884,5,5
2021.10.01 04:00:00,111.154,111.293,111.047,111.254,5795,5,5
2021.10.01 08:00:00,111.254,111.279,111.046,111.159,5832,5,5
2021.10.01 12:00:00,111.157,111.204,110.904,110.980,11860,5,5
2021.10.01 16:00:00,110.980,111.116,110.949,111.005,2066,5,5
2021.10.01 20:00:00,111.013,111.063,110.996,111.052,176,26,5
2021.10.03 20:00:00,110.898,111.008,110.878,110.947,941,5,0
2021.10.04 00:00:00,110.948,111.111,110.884,111.060,4190,5,1
2021.10.04 04:00:00,111.058,111.193,110.963,111.163,4559,5,1
2021.10.04 08:00:00,111.163,111.298,111.062,111.080,3713,5,1
2021.10.04 12:00:00,111.079,111.230,110.820,110.940,9384,5,1
2021.10.04 16:00:00,110.939,110.997,110.832,110.908,2750,5,1
2021.10.04 20:00:00,110.910,110.986,110.875,110.967,1024,5,1
2021.10.05 00:00:00,110.965,111.190,110.869,111.167,4624,5,2
2021.10.05 04:00:00,111.165,111.255,111.084,111.090,4870,5,2
2021.10.05 08:00:00,111.091,111.312,111.074,111.216,3560,5,2
2021.10.05 12:00:00,111.218,111.558,111.130,111.388,6980,5,2
2021.10.05 16:00:00,111.388,111.519,111.388,111.453,1558,5,2
2021.10.05 20:00:00,111.454,111.511,111.413,111.485,857,5,2
2021.10.06 00:00:00,111.486,111.659,111.486,111.628,3749,5,3
2021.10.06 04:00:00,111.629,111.784,111.588,111.671,5237,5,3
2021.10.06 08:00:00,111.670,111.676,111.346,111.367,6957,5,3
2021.10.06 12:00:00,111.366,111.429,111.196,111.339,9100,5,3
2021.10.06 16:00:00,111.340,111.495,111.314,111.376,2216,5,3
2021.10.06 20:00:00,111.374,111.436,111.362,111.405,780,6,3
2021.10.07 00:00:00,111.403,111.505,111.311,111.420,3228,5,4
2021.10.07 04:00:00,111.418,111.509,111.228,111.290,3623,5,4
2021.10.07 08:00:00,111.291,111.527,111.267,111.348,3543,5,4
2021.10.07 12:00:00,111.347,111.550,111.316,111.498,5825,5,4
2021.10.07 16:00:00,111.495,111.638,111.480,111.576,1417,5,4
2021.10.07 20:00:00,111.585,111.673,111.567,111.659,584,6,4
2021.10.08 00:00:00,111.661,111.891,111.655,111.836,2693,5,5
2021.10.08 04:00:00,111.834,111.990,111.834,111.954,3187,5,5
2021.10.08 08:00:00,111.953,111.996,111.693,111.747,3789,5,5
2021.10.08 12:00:00,111.747,112.175,111.509,112.153,15542,5,5
2021.10.08 16:00:00,112.153,112.244,112.132,112.200,1838,5,5
2021.10.08 20:00:00,112.203,112.240,112.189,112.218,258,26,5
2021.10.10 20:00:00,112.161,112.314,112.134,112.272,826,6,0
2021.10.11 00:00:00,112.272,112.720,112.174,112.691,3580,5,1
2021.10.11 04:00:00,112.689,112.842,112.615,112.789,4660,5,1
2021.10.11 08:00:00,112.790,113.034,112.790,112.929,4008,5,1
2021.10.11 12:00:00,112.927,113.374,112.882,113.364,6204,5,1
2021.10.11 16:00:00,113.364,113.408,113.273,113.341,1659,5,1
2021.10.11 20:00:00,113.341,113.398,113.265,113.387,1203,6,1
2021.10.12 00:00:00,113.385,113.484,113.207,113.292,4855,5,2
2021.10.12 04:00:00,113.292,113.345,113.000,113.293,5759,5,2
2021.10.12 08:00:00,113.291,113.427,113.232,113.392,5313,5,2
2021.10.12 12:00:00,113.392,113.785,113.353,113.687,12618,5,2
2021.10.12 16:00:00,113.687,113.698,113.557,113.563,2343,5,2
2021.10.12 20:00:00,113.562,113.628,113.511,113.535,997,6,2
2021.10.13 00:00:00,113.536,113.586,113.346,113.460,4045,5,3
2021.10.13 04:00:00,113.462,113.605,113.401,113.571,3307,5,3
2021.10.13 08:00:00,113.570,113.609,113.478,113.542,3527,5,3
2021.10.13 12:00:00,113.540,113.801,113.226,113.485,13390,5,3
2021.10.13 16:00:00,113.486,113.499,113.242,113.242,3361,5,3
2021.10.13 20:00:00,113.244,113.307,113.195,113.307,882,6,3
2021.10.14 00:00:00,113.305,113.578,113.275,113.544,2681,5,4
2021.10.14 04:00:00,113.543,113.590,113.341,113.369,3795,5,4
2021.10.14 08:00:00,113.367,113.444,113.283,113.419,4045,5,4
2021.10.14 12:00:00,113.420,113.714,113.385,113.577,6764,5,4
2021.10.14 16:00:00,113.580,113.700,113.485,113.623,2007,5,4
2021.10.14 20:00:00,113.624,113.881,113.623,113.830,1396,6,4
2021.10.15 00:00:00,113.831,113.950,113.812,113.928,3468,5,5
2021.10.15 04:00:00,113.928,114.176,113.924,114.095,5357,5,5
2021.10.15 08:00:00,114.095,114.400,114.090,114.325,5058,5,5
2021.10.15 12:00:00,114.327,114.460,113.986,114.305,9566,5,5
2021.10.15 16:00:00,114.306,114.330,114.186,114.195,2071,5,5
2021.10.15 20:00:00,114.198,114.272,114.191,114.251,153,26,5
2021.10.17 20:00:00,114.192,114.351,114.157,114.329,1617,6,0
2021.10.18 00:00:00,114.331,114.447,114.014,114.391,5595,5,1
2021.10.18 04:00:00,114.389,114.449,114.221,114.291,5976,5,1
2021.10.18 08:00:00,114.293,114.430,114.226,114.371,5925,5,1
2021.10.18 12:00:00,114.368,114.371,114.117,114.221,10727,5,1
2021.10.18 16:00:00,114.219,114.316,114.179,114.294,1690,5,1
2021.10.18 20:00:00,114.295,114.332,114.236,114.285,701,6,1
2021.10.19 00:00:00,114.284,114.351,114.078,114.146,3876,5,2
2021.10.19 04:00:00,114.144,114.195,113.878,114.028,5716,5,2
2021.10.19 08:00:00,114.027,114.211,113.912,114.199,5097,5,2
2021.10.19 12:00:00,114.199,114.331,114.163,114.276,6488,5,2
2021.10.19 16:00:00,114.278,114.337,114.230,114.314,1373,5,2
2021.10.19 20:00:00,114.316,114.580,114.305,114.543,1312,6,2
2021.10.20 00:00:00,114.543,114.696,114.441,114.516,4363,5,3
2021.10.20 04:00:00,114.514,114.579,114.287,114.345,11602,5,3
2021.10.20 08:00:00,114.346,114.527,114.316,114.398,5594,5,3
2021.10.20 12:00:00,114.395,114.399,114.120,114.240,8747,5,3
2021.10.20 16:00:00,114.241,114.285,114.077,114.257,3013,5,3
2021.10.20 20:00:00,114.259,114.404,114.244,114.386,1025,6,3
2021.10.21 00:00:00,114.386,114.404,114.189,114.209,3041,5,4
2021.10.21 04:00:00,114.210,114.210,113.908,114.124,7727,5,4
2021.10.21 08:00:00,114.124,114.180,113.972,114.164,4029,5,4
2021.10.21 12:00:00,114.163,114.205,113.649,113.742,11293,5,4
2021.10.21 16:00:00,113.743,114.023,113.675,113.999,3056,5,4
2021.10.21 20:00:00,114.007,114.034,113.815,113.846,1214,6,4
2021.10.22 00:00:00,113.848,114.204,113.838,114.066,5021,5,5
2021.10.22 04:00:00,114.068,114.074,113.844,113.885,5078,5,5
2021.10.22 08:00:00,113.886,113.985,113.736,113.877,4088,5,5
2021.10.22 12:00:00,113.879,113.912,113.503,113.556,10051,5,5
2021.10.22 16:00:00,113.557,113.637,113.411,113.427,3913,5,5
2021.10.22 20:00:00,113.426,113.493,113.394,113.459,321,26,5
2021.10.24 20:00:00,113.516,113.690,113.444,113.667,1019,5,0
2021.10.25 00:00:00,113.666,113.825,113.532,113.626,5444,5,1
2021.10.25 04:00:00,113.629,113.736,113.514,113.631,4199,5,1
2021.10.25 08:00:00,113.633,113.727,113.559,113.696,3994,5,1
2021.10.25 12:00:00,113.694,113.921,113.590,113.699,7786,5,1
2021.10.25 16:00:00,113.699,113.744,113.623,113.690,1496,5,1
2021.10.25 20:00:00,113.691,113.785,113.650,113.763,628,6,1
2021.10.26 00:00:00,113.763,113.947,113.718,113.909,3262,5,2
2021.10.26 04:00:00,113.906,114.078,113.868,114.043,3692,5,2
2021.10.26 08:00:00,114.044,114.049,113.904,113.943,3884,5,2
2021.10.26 12:00:00,113.945,114.309,113.937,114.200,6745,5,2
2021.10.26 16:00:00,114.200,114.234,114.087,114.106,1892,5,2
2021.10.26 20:00:00,114.111,114.205,114.092,114.183,1106,6,2
2021.10.27 00:00:00,114.180,114.218,113.958,113.987,4273,5,3
2021.10.27 04:00:00,113.987,114.096,113.667,113.739,3770,5,3
2021.10.27 08:00:00,113.737,113.804,113.535,113.654,6521,5,3
2021.10.27 12:00:00,113.656,113.838,113.384,113.750,11828,5,3
2021.10.27 16:00:00,113.751,113.831,113.635,113.792,3917,5,3
2021.10.27 20:00:00,113.793,113.854,113.729,113.771,1157,6,3
2021.10.28 00:00:00,113.772,113.863,113.545,113.621,5146,5,4
2021.10.28 04:00:00,113.622,113.744,113.499,113.598,5134,5,4
2021.10.28 08:00:00,113.600,113.719,113.512,113.614,5348,5,4
2021.10.28 12:00:00,113.615,113.717,113.253,113.382,13537,5,4
2021.10.28 16:00:00,113.380,113.576,113.357,113.555,3099,5,4
2021.10.28 20:00:00,113.546,113.615,113.526,113.615,826,6,4
2021.10.29 00:00:00,113.617,113.708,113.391,113.602,5550,5,5
2021.10.29 04:00:00,113.602,113.682,113.503,113.603,5001,5,5
2021.10.29 08:00:00,113.605,113.888,113.575,113.865,4226,5,5
2021.10.29 12:00:00,113.866,114.087,113.720,114.051,11724,5,5
2021.10.29 16:00:00,114.049,114.094,113.872,113.949,3035,5,5
2021.10.29 20:00:00,113.949,114.023,113.875,113.995,442,26,5
2021.10.31 20:00:00,114.033,114.252,114.020,114.234,1122,6,0
2021.11.01 00:00:00,114.236,114.244,114.024,114.198,4559,5,1
2021.11.01 04:00:00,114.199,114.423,114.198,114.417,3704,5,1
2021.11.01 08:00:00,114.416,114.442,114.154,114.237,4577,5,1
2021.11.01 12:00:00,114.238,114.286,114.103,114.198,7346,5,1
2021.11.01 16:00:00,114.196,114.207,113.936,113.982,2805,5,1
2021.11.01 20:00:00,113.980,114.130,113.933,114.090,1276,6,1
2021.11.02 00:00:00,114.090,114.131,113.870,113.946,3829,5,2
2021.11.02 04:00:00,113.946,113.966,113.580,113.655,6006,5,2
2021.11.02 08:00:00,113.656,113.727,113.460,113.693,5108,5,2
2021.11.02 12:00:00,113.693,113.864,113.652,113.795,7573,5,2
2021.11.02 16:00:00,113.792,113.981,113.763,113.931,2380,5,2
2021.11.02 20:00:00,113.938,114.007,113.893,113.960,898,5,2
2021.11.03 00:00:00,113.961,113.968,113.742,113.804,1633,5,3
2021.11.03 04:00:00,113.806,113.942,113.786,113.907,1716,5,3
2021.11.03 08:00:00,113.908,113.942,113.755,113.771,3013,5,3
2021.11.03 12:00:00,113.770,114.147,113.719,114.062,7911,5,3
2021.11.03 16:00:00,114.062,114.217,113.779,113.952,13887,5,3
2021.11.03 20:00:00,113.952,114.083,113.938,114.067,1481,6,3
2021.11.04 00:00:00,114.067,114.241,114.034,114.206,2958,5,4
2021.11.04 04:00:00,114.203,114.274,114.121,114.210,2320,5,4
2021.11.04 08:00:00,114.208,114.260,113.788,113.811,6314,5,4
2021.11.04 12:00:00,113.810,114.021,113.506,113.636,13016,5,4
2021.11.04 16:00:00,113.636,113.782,113.613,113.683,3588,5,4
2021.11.04 20:00:00,113.691,113.853,113.680,113.832,890,6,4
2021.11.05 00:00:00,113.831,113.837,113.555,113.699,4681,5,5
2021.11.05 04:00:00,113.697,113.784,113.597,113.760,2705,5,5
2021.11.05 08:00:00,113.760,113.916,113.716,113.829,4885,5,5
2021.11.05 12:00:00,113.830,114.029,113.417,113.454,15889,5,5
2021.11.05 16:00:00,113.452,113.511,113.296,113.320,3356,5,5
2021.11.05 20:00:00,113.311,113.387,113.308,113.382,259,26,5
2021.11.07 20:00:00,113.348,113.513,113.332,113.453,664,18,0
2021.11.08 00:00:00,113.474,113.664,113.434,113.648,3556,5,1
2021.11.08 04:00:00,113.649,113.651,113.523,113.564,2628,5,1
2021.11.08 08:00:00,113.563,113.574,113.357,113.478,4169,5,1
2021.11.08 12:00:00,113.480,113.485,113.078,113.188,7232,5,1
2021.11.08 16:00:00,113.189,113.272,113.135,113.228,2517,5,1
2021.11.08 20:00:00,113.229,113.289,113.182,113.252,1168,5,1
2021.11.09 00:00:00,113.253,113.259,112.794,112.842,4765,5,2
2021.11.09 04:00:00,112.840,112.918,112.724,112.849,4020,5,2
2021.11.09 08:00:00,112.850,113.001,112.807,112.963,4658,5,2
2021.11.09 12:00:00,112.964,113.111,112.739,112.921,10202,5,2
2021.11.09 16:00:00,112.922,113.003,112.810,112.830,4527,5,2
2021.11.09 20:00:00,112.830,112.943,112.804,112.910,1376,5,2
2021.11.10 00:00:00,112.908,112.948,112.773,112.843,3439,5,3
2021.11.10 04:00:00,112.845,113.135,112.787,113.098,2728,5,3
2021.11.10 08:00:00,113.096,113.249,113.062,113.225,4138,5,3
2021.11.10 12:00:00,113.226,113.936,113.186,113.896,14511,5,3
2021.11.10 16:00:00,113.896,114.012,113.731,113.815,7505,5,3
2021.11.10 20:00:00,113.814,113.938,113.767,113.904,2189,5,3
2021.11.11 00:00:00,113.907,114.155,113.903,113.998,4480,5,4
2021.11.11 04:00:00,113.997,114.087,113.874,114.073,2465,5,4
2021.11.11 08:00:00,114.075,114.131,113.933,113.954,4064,5,4
2021.11.11 12:00:00,113.951,114.000,113.804,113.967,5062,5,4
2021.11.11 16:00:00,113.969,114.096,113.940,114.096,1687,5,4
2021.11.11 20:00:00,114.093,114.105,114.014,114.042,766,5,4
2021.11.12 00:00:00,114.040,114.298,114.038,114.254,3308,5,5
2021.11.12 04:00:00,114.254,114.279,114.020,114.047,2563,5,5
2021.11.12 08:00:00,114.048,114.128,113.949,114.051,4277,5,5
2021.11.12 12:00:00,114.051,114.060,113.759,113.940,8803,5,5
2021.11.12 16:00:00,113.941,113.963,113.819,113.955,3293,5,5
2021.11.12 20:00:00,113.953,113.955,113.854,113.900,738,5,5
2021.11.14 20:00:00,113.933,114.032,113.891,113.981,521,7,0
2021.11.15 00:00:00,113.983,114.005,113.749,113.854,3286,5,1
2021.11.15 04:00:00,113.855,113.992,113.803,113.944,2040,5,1
2021.11.15 08:00:00,113.944,114.010,113.804,113.822,3905,5,1
2021.11.15 12:00:00,113.819,114.047,113.815,113.965,6156,5,1
2021.11.15 16:00:00,113.966,114.086,113.919,114.085,2874,5,1
2021.11.15 20:00:00,114.082,114.213,114.074,114.129,1547,5,1
2021.11.16 00:00:00,114.127,114.309,114.112,114.177,4081,5,2
2021.11.16 04:00:00,114.176,114.270,114.099,114.260,2789,5,2
2021.11.16 08:00:00,114.262,114.289,114.125,114.230,4050,5,2
2021.11.16 12:00:00,114.230,114.635,114.230,114.578,9393,5,2
2021.11.16 16:00:00,114.575,114.695,114.498,114.693,3285,5,2
2021.11.16 20:00:00,114.693,114.955,114.626,114.902,2348,5,2
2021.11.17 00:00:00,114.900,114.935,114.697,114.886,4255,5,3
2021.11.17 04:00:00,114.887,114.935,114.819,114.887,2985,5,3
2021.11.17 08:00:00,114.890,114.943,114.707,114.741,4381,5,3
2021.11.17 12:00:00,114.739,114.762,114.429,114.525,7689,5,3
2021.11.17 16:00:00,114.524,114.550,113.932,114.128,7397,5,3
2021.11.17 20:00:00,114.130,114.218,114.046,114.188,1993,5,3
2021.11.18 00:00:00,114.190,114.237,113.875,114.093,4821,5,4
2021.11.18 04:00:00,114.094,114.269,113.976,114.015,4403,5,4
2021.11.18 08:00:00,114.016,114.224,114.008,114.182,4457,5,4
2021.11.18 12:00:00,114.180,114.483,114.128,114.280,9299,5,4
2021.11.18 16:00:00,114.278,114.312,114.158,114.260,3703,5,4
2021.11.18 20:00:00,114.258,114.282,114.189,114.282,1297,5,4
2021.11.19 00:00:00,114.280,114.395,114.243,114.364,3550,5,5
2021.11.19 04:00:00,114.362,114.373,114.292,114.359,1907,5,5
2021.11.19 08:00:00,114.359,114.537,113.809,113.840,14116,5,5
2021.11.19 12:00:00,113.838,114.060,113.585,113.864,16872,5,5
2021.11.19 16:00:00,113.865,114.066,113.725,113.934,6576,5,5
2021.11.19 20:00:00,113.936,114.029,113.936,114.008,1176,5,5
2021.11.21 20:00:00,113.927,114.141,113.909,114.141,1054,7,0
2021.11.22 00:00:00,114.139,114.212,114.018,114.111,3470,5,1
2021.11.22 04:00:00,114.111,114.265,114.109,114.215,2693,5,1
2021.11.22 08:00:00,114.216,114.251,114.063,114.115,6422,5,1
2021.11.22 12:00:00,114.118,114.750,114.065,114.733,13026,5,1
2021.11.22 16:00:00,114.735,114.949,114.606,114.946,4985,5,1
2021.11.22 20:00:00,114.947,114.959,114.765,114.790,1786,5,1
2021.11.23 00:00:00,114.792,115.136,114.736,115.079,3642,5,2
2021.11.23 04:00:00,115.078,115.150,114.483,114.699,7008,5,2
2021.11.23 08:00:00,114.701,115.006,114.522,114.962,11001,5,2
2021.11.23 12:00:00,114.961,115.094,114.835,114.971,11459,5,2
2021.11.23 16:00:00,114.971,115.081,114.898,115.072,5205,5,2
2021.11.23 20:00:00,115.071,115.205,115.037,115.141,1782,5,2
2021.11.24 00:00:00,115.139,115.233,115.003,115.069,4245,5,3
2021.11.24 04:00:00,115.070,115.070,114.852,114.899,4500,5,3
2021.11.24 08:00:00,114.899,115.112,114.823,115.001,7169,5,3
2021.11.24 12:00:00,114.999,115.467,114.980,115.437,12189,5,3
2021.11.24 16:00:00,115.436,115.518,115.279,115.466,4699,5,3
