time,open,high,low,close,volume,spread,day_of_week
2025.01.02 00:00:00,157.699,157.851,156.436,157.354,82201,6,4
2025.01.03 00:00:00,157.357,157.492,156.869,157.304,49409,6,5
2025.01.05 00:00:00,157.171,157.526,157.124,157.501,2075,6,0
2025.01.06 00:00:00,157.506,157.961,156.239,157.736,90012,6,1
2025.01.07 00:00:00,157.737,158.426,157.363,158.215,87064,6,2
2025.01.08 00:00:00,158.228,158.553,157.903,158.190,66595,6,3
2025.01.09 00:00:00,158.193,158.324,157.572,158.036,51962,6,4
2025.01.10 00:00:00,158.042,158.877,157.221,157.725,97862,6,5
2025.01.12 00:00:00,157.720,157.915,157.649,157.905,2344,6,0
2025.01.13 00:00:00,157.908,157.966,156.910,157.306,78464,6,1
2025.01.14 00:00:00,157.307,158.196,157.058,158.042,92610,6,2
2025.01.15 00:00:00,158.045,158.083,155.933,156.220,91804,6,3
2025.01.16 00:00:00,156.220,156.526,155.021,155.363,108048,6,4
2025.01.17 00:00:00,155.364,156.373,154.973,156.289,73156,6,5
2025.01.19 00:00:00,156.221,156.570,156.197,156.303,2630,6,0
2025.01.20 00:00:00,156.308,156.469,155.164,155.270,91176,6,1
2025.01.21 00:00:00,155.272,156.236,154.772,155.743,109429,6,2
2025.01.22 00:00:00,155.745,156.706,155.351,156.420,70858,6,3
2025.01.23 00:00:00,156.433,156.751,155.739,156.138,70426,6,4
2025.01.24 00:00:00,156.135,156.575,154.838,155.987,128583,6,5
2025.01.26 00:00:00,155.667,155.813,155.570,155.715,3092,6,0
2025.01.27 00:00:00,155.719,156.247,153.711,154.914,140258,6,1
2025.01.28 00:00:00,154.916,155.979,154.797,155.560,95507,6,2
2025.01.29 00:00:00,155.563,155.790,154.937,155.179,91305,6,3
2025.01.30 00:00:00,155.178,155.201,153.788,154.089,106426,6,4
2025.01.31 00:00:00,154.091,155.220,153.912,155.202,106743,6,5
2025.02.02 00:00:00,154.756,155.426,154.731,155.343,6490,6,0
2025.02.03 00:00:00,155.347,155.885,154.003,155.261,143540,6,1
2025.02.04 00:00:00,155.265,155.520,154.019,154.130,89662,6,2
2025.02.05 00:00:00,154.130,154.357,152.109,152.647,110815,6,3
