anchor,gz,choch,react,fvg,n,expR,t
impulse20,0.618-0.705,wick,close,False,419,-0.12144829429468494,-1.8232710224985162
impulse20,0.618-0.705,wick,engulf,True,63,0.0,0.0
impulse20,0.618-0.705,wick,engulf,False,361,-0.10913805355323625,-1.5175026972284518
impulse20,0.618-0.786,close,close,True,97,-0.16494845360824742,-1.201997162280557
impulse20,0.618-0.786,close,close,False,310,-0.04479624293378384,-0.5652373280537125
impulse20,0.618-0.786,close,engulf,True,56,0.23214285714285715,1.1664941211260256
impulse20,0.618-0.786,close,engulf,False,260,-0.0861493743566088,-1.0103642438147686
impulse20,0.618-0.786,wick,close,True,124,-0.25,-2.134374745810949
impulse20,0.618-0.786,wick,close,False,421,-0.13274782733841567,-2.0053226580630468
impulse20,0.618-0.786,wick,engulf,True,64,0.03125,0.17407765595569785
impulse20,0.618-0.786,wick,engulf,False,360,-0.1149967703686619,-1.599846602656976
impulse20,0.500-0.786,close,close,True,106,-0.1792452830188679,-1.3733544347122424
impulse20,0.500-0.786,close,close,False,343,-0.029812021269447344,-0.3944469306220629
impulse20,0.500-0.786,close,engulf,True,63,0.14285714285714285,0.772109996149413
impulse20,0.500-0.786,close,engulf,False,289,-0.04366445417411698,-0.5345653598329034
impulse20,0.500-0.786,wick,close,True,149,-0.19463087248322147,-1.781001791190638
impulse20,0.500-0.786,wick,close,False,468,-0.08381522071671034,-1.3148442270960832
impulse20,0.500-0.786,wick,engulf,True,79,0.06329113924050633,0.3895219603690023
impulse20,0.500-0.786,wick,engulf,False,397,-0.06201266311415569,-0.8928725614424393
recent,0.618-0.705,close,close,True,91,-0.14285714285714285,-0.9999999999999998
recent,0.618-0.705,close,close,False,304,-0.03633340836915276,-0.4531150812683099
recent,0.618-0.705,close,engulf,True,53,0.1320754716981132,0.6549475009160879
recent,0.618-0.705,close,engulf,False,267,-0.06905940114277831,-0.8182712485054714
recent,0.618-0.705,wick,close,True,128,-0.1796875,-1.514373304779813
recent,0.618-0.705,wick,close,False,432,-0.1413086947782927,-2.1693346880621305
recent,0.618-0.705,wick,engulf,True,66,-0.09090909090909091,-0.5316095330711951
recent,0.618-0.705,wick,engulf,False,373,-0.15667254719871798,-2.25467274047948
recent,0.618-0.786,close,close,True,91,-0.14285714285714285,-0.9999999999999998
recent,0.618-0.786,close,close,False,304,-0.03633340836915276,-0.4531150812683099
recent,0.618-0.786,close,engulf,True,53,0.1320754716981132,0.6549475009160879
recent,0.618-0.786,close,engulf,False,267,-0.06905940114277831,-0.8182712485054714
recent,0.618-0.786,wick,close,True,128,-0.1796875,-1.514373304779813
recent,0.618-0.786,wick,close,False,431,-0.1393163715643212,-2.134791265705476
recent,0.618-0.786,wick,engulf,True,66,-0.09090909090909091,-0.5316095330711951
recent,0.618-0.786,wick,engulf,False,372,-0.1544055379169941,-2.2172632916173436
recent,0.500-0.786,close,close,True,101,-0.10891089108910891,-0.7944775483653056
recent,0.500-0.786,close,close,False,337,-0.014500994983599379,-0.18919379361647748
recent,0.500-0.786,close,engulf,True,58,0.13793103448275862,0.7153911599848798
recent,0.500-0.786,close,engulf,False,291,-0.03189120024182942,-0.3899410219754516
recent,0.500-0.786,wick,close,True,144,-0.14583333333333334,-1.2881176114079502
recent,0.500-0.786,wick,close,False,472,-0.09298058328278176,-1.4677275393607
recent,0.500-0.786,wick,engulf,True,70,0.07142857142857142,0.4127594582445936
recent,0.500-0.786,wick,engulf,False,401,-0.08049959917798594,-1.170117174060316
